Company,TypeName,Ram,Weight,Touchscreen,Price,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand,os
Apple,Ultrabook,8,1.37,0,5491,1,226.983004681061,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,0,3684,0,127.677940133096,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,0,2357,0,141.211998082198,Intel Core i5,0,256,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,0,10400,1,220.534623866258,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,0,7392,1,226.983004681061,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,0,1639,0,100.454669861136,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,0,8771,1,220.534623866258,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,0,4749,0,127.677940133096,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,0,6127,0,157.350512148735,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,0,3156,1,157.350512148735,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,0,1614,0,100.454669861136,Intel Core i5,500,0,Intel,Others/No OS/Linux
HP,Notebook,4,1.86,0,1414,0,141.211998082198,Intel Core i3,500,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,0,10000,1,220.534623866258,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,0,2045,0,141.211998082198,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,0,5174,1,226.415547169358,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,0,6224,1,226.983004681061,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,0,3053,0,141.211998082198,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,0,11713,1,220.534623866258,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,0,2045,0,141.211998082198,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,1.22,1,4012,1,165.6321180513,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,0,786,0,135.094211192562,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,0,4094,1,141.211998082198,Intel Core i5,0,128,Nvidia,Windows
HP,Notebook,4,1.86,0,1057,0,100.454669861136,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,1,3357,0,165.6321180513,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,0,2701,0,141.211998082198,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,0,1716,0,100.454669861136,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,0,4504,0,127.677940133096,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,0,3279,0,141.211998082198,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,0,5320,0,141.211998082198,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.5,0,3672,0,127.335674571231,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,0,1004,0,141.211998082198,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,0,816,0,111.935203559552,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,0,1799,0,127.335674571231,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,1,7660,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,0,4090,0,127.677940133096,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,0,1021,0,111.935203559552,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,0,1504,0,100.454669861136,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.8,0,4012,1,127.335674571231,Intel Core i5,0,128,AMD,Windows
HP,Notebook,4,1.86,0,2003,0,100.454669861136,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,0,3603,0,141.211998082198,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,0,1594,0,141.211998082198,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Gaming,16,2.65,0,6144,1,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,8,2.3,0,2143,0,100.454669861136,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
Acer,Notebook,4,2.2,0,2795,1,141.211998082198,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,1,4094,0,127.335674571231,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,0,5816,1,226.983004681061,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,0,1512,0,100.454669861136,Intel Core i3,0,128,Intel,Others/No OS/Linux
Asus,Gaming,8,3.2,0,5324,0,127.335674571231,AMD Processor,0,256,AMD,Windows
Dell,Notebook,4,2.3,0,2619,0,141.211998082198,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,0,1910,0,90.583401724493,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,1,1307,1,224.173809078572,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,8,2.2,0,3447,1,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,0,1633,0,141.211998082198,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,0,4521,0,165.6321180513,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,0,1574,0,100.454669861136,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,0,3147,0,141.211998082198,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,0,1799,0,141.211998082198,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,0,2402,0,100.454669861136,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,0,10037,0,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,0,1701,0,141.211998082198,Intel Core i3,0,256,Intel,Others/No OS/Linux
Dell,Notebook,16,2.8,0,5324,0,127.335674571231,Intel Core i7,0,256,AMD,Windows
Dell,Ultrabook,8,1.7,0,3603,0,157.350512148735,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,0,2455,1,157.350512148735,Intel Core i3,0,256,Intel,Others/No OS/Linux
Asus,Notebook,8,1.4,0,3857,0,157.350512148735,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,0,2828,0,141.211998082198,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,0,8127,0,141.211998082198,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,0,1798,0,100.454669861136,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,0,939,0,111.935203559552,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,0,2250,0,141.211998082198,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,0,3889,0,127.335674571231,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,1.252,1,4463,0,200.842559936957,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,0,3914,1,165.6321180513,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,0,3566,0,141.211998082198,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,0,4488,0,127.335674571231,Intel Core i5,0,128,Nvidia,Windows
Acer,Notebook,8,2.1,0,1594,0,111.935203559552,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,0,3889,0,141.211998082198,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,0,2127,0,141.211998082198,Intel Core i5,2000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.02,0,3504,0,141.211998082198,Intel Core i7,0,128,Intel,Windows
Acer,Notebook,4,2.2,0,2172,0,141.211998082198,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,0,4004,0,127.335674571231,Intel Core i5,0,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,0,4493,1,141.211998082198,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,0,6189,1,226.415547169358,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,0,3525,0,157.350512148735,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,0,1635,0,141.211998082198,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,0,1619,0,100.454669861136,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,0,5529,1,141.211998082198,Intel Core i7,0,128,Nvidia,Windows
HP,Ultrabook,8,1.83,0,2865,1,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,0,2455,0,141.211998082198,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,0,5939,1,141.211998082198,Intel Core i7,0,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,0,6758,1,165.6321180513,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,0,2865,0,141.211998082198,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,0,2824,0,141.211998082198,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,0,4906,0,165.6321180513,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,0,4898,0,141.211998082198,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,0,4299,0,157.350512148735,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,1,3471,1,165.6321180513,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,0,2459,0,141.211998082198,Intel Core i7,1000,0,AMD,Others/No OS/Linux
Dell,Notebook,4,2.2,0,1988,0,141.211998082198,Intel Core i3,0,256,AMD,Others/No OS/Linux
Asus,Notebook,6,2.0,0,2365,0,141.211998082198,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,0,5119,1,141.211998082198,Intel Core i7,0,128,Nvidia,Windows
HP,Notebook,8,1.91,0,2947,0,141.211998082198,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,0,1430,0,141.211998082198,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,0,2652,0,141.211998082198,Intel Core i5,1000,0,AMD,Others/No OS/Linux
HP,Ultrabook,8,1.38,0,4586,1,165.6321180513,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,1,5492,0,200.842559936957,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,0,2701,1,157.350512148735,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,0,1700,0,141.211998082198,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,0,4889,1,157.350512148735,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,0,5324,0,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,0,6066,1,157.350512148735,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,0,5172,0,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,1,5652,0,276.053530085501,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,1,5734,1,165.6321180513,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,0,2959,1,111.935203559552,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,0,6676,1,165.6321180513,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,1,5734,1,165.6321180513,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,0,4443,0,157.350512148735,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,0,4633,1,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,0,2312,0,127.335674571231,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,0,4582,0,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,1,1963,1,141.211998082198,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,0,9187,0,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,0,2578,0,141.211998082198,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
HP,Notebook,16,2.5,0,5209,0,127.335674571231,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,0,1848,0,100.454669861136,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,0,1062,0,100.454669861136,Other Intel Processor,500,0,Intel,Others/No OS/Linux
HP,Notebook,8,1.63,0,3328,0,157.350512148735,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,0,1139,0,111.935203559552,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,0,5721,0,127.335674571231,Intel Core i7,0,256,AMD,Windows
HP,Notebook,8,2.5,0,3803,0,127.335674571231,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,0,2619,0,100.454669861136,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,0,1840,0,141.211998082198,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,0,3623,1,157.350512148735,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,0,2344,0,141.211998082198,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,0,2451,0,100.454669861136,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,0,4049,0,157.350512148735,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,0,1034,0,100.454669861136,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
Asus,Gaming,8,3.0,0,3844,0,127.335674571231,Intel Core i5,0,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,0,2045,0,141.211998082198,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,4,1.32,0,2865,1,165.6321180513,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3.0,0,2684,1,127.335674571231,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,0,4574,1,157.350512148735,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,0,3562,1,141.211998082198,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
Toshiba,Notebook,4,2.1,0,2467,0,100.454669861136,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,0,1512,0,100.454669861136,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,0,4504,0,157.350512148735,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,1,8254,1,352.465147213167,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,2.0,0,1410,0,141.211998082198,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,0,8316,0,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,0,1832,0,100.454669861136,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,0,5120,0,141.211998082198,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,0,3685,0,141.211998082198,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,0,2041,0,100.454669861136,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,0,7746,0,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
HP,Ultrabook,4,1.48,0,4435,0,157.350512148735,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,0,2537,0,141.211998082198,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,1,2578,1,157.350512148735,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,1,5389,0,165.6321180513,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,1,4299,0,141.211998082198,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,0,1832,0,100.454669861136,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,0,1652,0,100.454669861136,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3.0,0,3299,1,127.335674571231,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,0,2984,0,141.211998082198,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,0,4422,1,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,0,1426,0,100.454669861136,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,0,7373,1,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,0,1490,0,100.454669861136,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,0,4346,0,141.211998082198,Intel Core i7,0,128,Nvidia,Windows
Acer,Notebook,8,3.0,0,3500,1,127.335674571231,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,0,3090,1,165.6321180513,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,0,5529,1,199.692070641082,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,0,2865,1,127.335674571231,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,0,1266,0,100.454669861136,AMD Processor,500,0,AMD,Others/No OS/Linux
Toshiba,Notebook,4,2.0,0,2004,0,100.454669861136,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,0,3783,0,127.335674571231,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,0,1881,0,100.454669861136,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,0,1840,0,100.454669861136,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,0,11472,0,119.723215765342,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,0,3332,0,141.211998082198,Intel Core i5,0,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,1,6144,1,331.264236102601,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,0,4299,0,141.211998082198,Intel Core i7,0,256,AMD,Others/No OS/Linux
Dell,Ultrabook,8,1.23,0,5734,0,165.6321180513,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,1,7578,1,316.965060443496,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.0,0,3250,0,100.454669861136,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,0,4914,1,141.211998082198,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,Notebook,16,2.77,1,6349,0,127.335674571231,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,1,9824,0,282.423996164397,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,0,3193,1,141.211998082198,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Acer,Ultrabook,8,1.12,0,4053,1,165.6321180513,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,0,4447,0,127.335674571231,Intel Core i7,0,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,1,11574,0,209.80068286498,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,0,1066,1,157.350512148735,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,0,4098,1,165.6321180513,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Lenovo,Notebook,8,2.8,0,2861,0,106.113062142692,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,1,3439,1,165.6321180513,Intel Core i7,1000,0,Intel,Windows
